,P
0,0.013246859
1,0.001070473
2,0.000849945
3,0.000599501
4,0.038632496
5,0.00013549
6,0.001305691
7,0.000429969
8,0.041942852
9,0.000159861
10,0.0012157
11,0.029921801
12,6.26E-05
13,0.002345428
14,0.001143085
15,0.011169646
16,0.010280127
17,0.00018907
18,2.03E-05
19,0.463330572
20,0.025642474
21,0.029627599
22,0.000635812
23,0.003087337
24,0.001479701
25,0.006395112
26,0.019978839
27,0.00031225
28,0.021861851
29,0.002019224
30,0.022678431
31,0.054748876
32,0.000469899
33,0.007911321
34,0.003141452
35,0.016890497
36,0.014068228
37,0.000327202
38,0.024509259
39,0.087181138
40,0.002494261
41,0.037941079
42,0.00880542
43,0.011384304
44,0.132233952
45,0.069442903
46,0.051499876
47,0.000580861
48,0.05492063
49,0.000402178
50,0.022084192
51,0.130024901
52,0.002836282
53,0.001098982
54,0.000655166
55,0.037825658
56,0.000599567
57,0.004113524
58,2.13E-05
59,0.058240648
60,0.007659268
61,0.000465743
62,0.002919331
63,0.031264051
64,0.046529407
65,0.03653728
66,0.005632582
67,0.01841637
68,0.128053009
69,0.046796883
70,0.112804616
71,0.001861084
72,0.016404833
73,0.000152146
74,7.66E-05
75,0.008580018
76,0.21533967
77,0.869698461
78,0.017665858
79,2.42E-05
80,4.54E-05
81,0.021125468
82,0.921179299
83,0.000210019
84,0.09694114
85,0.044628351
86,0.3233922
87,0.053853413
88,1.75E-05
89,0.025966624
90,0.000530338
91,0.000908995
92,0.004711215
93,0.001719508
94,0.001790998
95,0.000645966
96,0.005458302
97,0.041709529
98,0.003758309
99,0.047616241
100,0.163970075
101,0.020123273
102,9.43E-05
103,0.005226291
104,0.160397092
105,0.011075487
106,0.2829111
107,0.031165425
108,0.18845792
109,0.001217731
110,0.011532038
111,0.002723258
112,0.150720178
113,0.002849768
114,0.012467303
115,0.070640614
116,0.014318089
117,6.64E-05
118,0.66771579
119,0.000599131
120,0.003700427
121,0.894977383
122,8.69E-05
123,0.28097951
124,0.025937158
125,0.068583586
126,0.048698525
127,0.8390402
128,0.003591176
129,0.225451526
130,0.00098239
131,0.000166701
132,0.512539044
133,0.404481137
134,0.660685258
135,0.009638111
136,0.040720032
137,0.381846687
138,0.017905088
139,0.006708187
140,0.000202257
141,0.052214715
142,0.007775433
143,0.0792438
144,0.137249738
145,0.404903764
146,0.374803646
147,0.050277294
148,0.004103827
149,0.91236727
150,0.213269409
151,0.00033615
152,0.004949046
153,0.244830147
154,0.233278902
155,0.02266744
156,0.025943563
157,0.012225823
158,0.137864748
159,0.546515923
160,0.001235183
161,0.462030798
162,0.733415592
163,0.085480783
164,0.808430749
165,0.575780197
166,0.051816606
167,0.511538739
168,0.238011132
169,0.226494295
170,0.373224021
171,0.003279511
172,0.189390432
173,0.210747497
174,0.13180339
175,0.045931958
176,0.242438678
177,0.121298362
178,0.896614152
179,0.965845307
180,0.135534652
181,0.864318835
182,0.157738341
183,0.14624588
184,0.084481694
185,0.561850274
186,0.344706475
187,0.011440247
188,6.26E-06
189,0.148010303
190,0.016886703
191,0.037607621
192,0.090877014
193,0.023808452
194,0.086631617
195,0.001611043
196,0.005669586
197,0.003745895
198,0.006526017
199,0.083374424
200,1.45E-05
201,0.073299917
202,0.000237734
203,0.176486162
204,0.107841498
205,0.302658701
206,0.000185439
207,0.039313892
208,0.108291008
209,0.001555097
210,0.060073263
211,0.000198092
212,0.004925952
213,0.021634532
214,0.025687068
215,0.327714194
216,0.000408466
217,0.027303104
218,0.013615695
219,0.124839756
220,0.054750992
221,0.114186468
222,0.029213001
223,0.019080496
224,0.072729706
225,0.029163479
226,6.11E-05
227,0.032529653
228,0.311178396
229,0.012891904
230,0.008196171
231,0.019111393
232,0.006917889
233,0.247468079
234,0.133652895
235,0.000565161
236,0.049329471
237,0.103881707
238,0.1393673
239,0.241503151
240,0.267324936
241,0.251649249
242,0.351174533
243,0.051214511
244,0.13937119
245,0.023531775
246,0.142669173
247,0.074159276
248,0.002270511
249,0.367508451
250,0.028735181
251,0.033445041
252,0.033357865
253,0.017137346
254,1.31E-06
255,0.001497207
256,0.02831119
257,0.223212998
258,0.697470782
259,0.01787451
260,0.012323043
261,0.162459422
262,0.004854454
263,0.197958829
264,0.378746199
265,0.060810829
266,0.000917236
267,0.028381869
268,0.081490508
269,0.057852912
270,0.113301522
271,0.109015526
272,0.193324813
273,0.731401346
274,0.175930276
275,0.174795696
276,0.027099878
277,0.445993819
278,0.146232222
279,0.079269579
280,0.312848268
281,0.007123512
282,0.006262872
283,0.045461961
284,0.467199022
285,0.789305969
286,0.281626332
287,0.03879224
288,0.151191697
289,0.027834014
290,0.275150071
291,0.407761222
292,0.325439259
293,0.305549761
294,0.006200885
295,0.060832693
296,0.064535207
