"","C14ORF105","TMED6","AGT","APOH","CPS1","FGA","SLC51B","HAVCR1","C5","UGT2B4","C4BPB","B3GAT1","AMBP","ITIH2","ALB","FGB","METTL7B","HAL","HGD","SLC39A5","FGG","SGK2","BAAT","SERPINA1","SDSL","GUCA2A","ANKRD62","CDK6","TM4SF5","VWA7","KLB","C8A","TINAG","VTN","TRIM31","ETNPPL","A1CF","ITIH4","IGFBP1","SERPINA11","ANO3","IL17RB","CALCR","PLIN5","CP","ONECUT1","TM4SF20","HPX","SLC17A1","TDRD12","MYOM1","F11","AC011498.4","KLKB1","GPX3","HRG","SLC30A2","AHSG","P2RY4","KNG1","AGTR1","EPO","FAM196A","LRG1","F7","SYPL2","C9","GUCA2B","TBX21","LECT2","TSPO2","OMP","PLAC4","SLC17A4","CREB3L3","HFE2","C2ORF72","TECTB","MTTP","APOF","HTR1B","PAH","TRIM15","MARCH4","APOA2","TF","TRIM10","F2","TRIM40","ABCG8","CYP24A1","AL138826.1","HPR","MOGAT3","APOB","PCK1","PAQR9","CPN1","CYP4A11","SLC2A2","BECN2","GATA4","LBP","G6PC","KAAG1","ALX1","APOA5","SULT2A1","SLC22A7","VCX","ACOT12","GOT1L1","GCG","APOA4","CFHR5","FABP1","AC022335.1","TSPY1","TSPY10","TSPY2"
"TCGA.86.8076.01A1",3,185,1655,23,5351,647,82,99,461,4,230,71,47,47,6,9,391,457,510,6,3734,51,33,62984,666,2,1,1439,0,838,143,298,0,35,242,87,5,50,1,10,1407,203,5,425,38904,55,2,42,0,8,142,50,37,30,6004,2,3,0,0,8,40,1,24,3651,30,17,3,0,215,3,5,2,43,0,4,3,27,12,60,2,5,44,8,67,3,236,3,0,0,0,39399,0,25,1,16,5,0,0,3,0,4,0,5,0,3,4,0,3,1,1,0,0,0,1,0,0,2,0,0,0
"TCGA.78.7159.01A1",6,47,229,6,17131,19916,51,18,6914,13,1603,21,253,4,122,18818,199,1437,418,10,53969,104,40,25322,160,0,3,792,0,278,40,9,1,21,25,150,2,183,3,37,3,437,4,71,45576,21,0,565,2,24,55,1,8,24,1956,0,11,0,4,2,37,0,20,1642,46,10,1,0,40,0,15,2,1514,0,3,1,51,0,3,6,4,92,1,11,3,211,5,5,2,1,3089,1,16,0,8,601,0,2,1,1,4,0,74,0,2,1,2,1,7,13,0,0,1,0,1,1,0,0,0,0
"TCGA.38.7271.01A1",1,40,203,262,74,1659,34,3,831,88,7,142,31,21,411,2361,123,12,35,1,6247,8,383,14614,308,0,1,769,0,84,40,0,0,80,12,0,0,5,3,0,34,106,3,32,2422,6,0,30,0,1,55,30,2,8,8250,0,6,0,1,0,80,1,56,1101,4,31,0,0,153,0,2,1,2,0,1,1,9,0,55,0,1,4,0,15,0,30,0,0,0,0,16,0,10,0,35,5,0,0,1,0,0,4,30,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"TCGA.86.7711.01A1",0,21,213,2,206,8492,13,6,240,6,5,46,1,12,1,33,55,2625,1256,4,8466,122,9,11503,1056,0,1,7555,0,337,84,2,0,40,5,11,2,3,4,0,35,97,15,142,68316,6,12,11,0,10,67,3,20,6,8895,0,15,0,2,0,47,1,464,5411,1,55,74,0,55,0,1,1,21,0,5,0,7,0,12,3,26,0,2,9,4,6,1,1,0,1,20517,2,1,0,9,0,6,0,1,0,44,0,9,1,0,0,1,2,0,9,1,0,0,0,4,0,0,0,0,0
"TCGA.44.3919.01A1",6,85,713,620,231,710,74,67,2153,15,3407,1306,39,40,25,602,2432,196,706,28,3309,123,142,228457,832,2,0,865,0,553,67,3,1,40,282,0,0,51,10,0,68,2492,25,177,66170,39,1,59,0,15,103,209,15,103,12510,1,26,0,13,2,82,3,31,3201,21,63,2,1,160,0,8,11,4,1,10,2,99,0,245,3,4,15,37,20,1,35,24,3,1,1,677,1,12,0,16,0,0,0,1,1,1,2,2,3,4,8,2,0,0,1,0,1,0,1,1,0,0,0,0,0
"TCGA.69.8255.01A1",2406,4081,72845,113635,354833,345048,14402,4222,48191,14565,18937,7130,113224,58951,3980697,258629,21885,17200,5676,581,198485,7533,5723,2081439,10598,80,587,7671,12277,11818,5027,904,1683,431539,4886,1529,5691,567,44872,49,198,10634,3010,3855,464938,2744,211,9857,1217,8147,2397,1749,493,766,7788,11022,92,1453,604,16098,16558,389,12,105200,1580,2002,128,30,398,0,20,65,1,1468,20289,49,16545,0,5096,919,1,39719,3470,17,22272,728034,710,33588,26,432,63,703,151,386,111349,57667,12651,8350,464,549,159,3506,120526,62275,67,1068,85,3,7,0,243,341,0,15,47,1248,17,0,0,0
"TCGA.73.7498.01A1",0,346,876,2280,156,3299,111,7,1594,28,46,137,3029,217,6,6,907,1003,551,17,3612,74,172,26671,611,7,2,2295,11,1195,111,11,4,60,465,4,3,34,6,1,197,423,13,724,6336,228,0,47,4,4,252,103,135,23,21264,4,15,0,8,0,452,2,76,2263,12,64,3,0,148,0,12,5,3,5,1,7,64,9,30,1,7,69,3,111,2,94,0,0,0,3,1477,4,5,0,24,3,0,0,37,0,1,3,2,1,0,0,8,1,1,7,0,3,2,0,3,1,0,0,0,0
"TCGA.NJ.A55O.01A1",69,142,76,24,15451,2573,40,215,665,4,465,28,55,35,2,2385,156,557,3143,7,4522,94,74,19572,506,5,3,924,713,526,341,2,3,30,843,1231,2,20,80,1,42,156,9,345,1353,2,3,33,1,25,177,158,30,50,8170,1,43,0,3,18,84,1,33,968,30,11,2,6,56,0,15,9,5790,0,0,0,600,0,13,1,24,175,84,10,0,9,23,6,49,3,194,0,7,1,123,535,0,0,2,0,0,0,2,1,0,0,13,1,0,21,1,0,1,0,0,0,0,0,0,0
"TCGA.44.2657.01A1",0,23,134,122,49,2,57,0,178,10,787,400,21,92,10,0,434,26,137,5,10,31,80,24527,455,3,0,680,0,261,17,0,0,31,74,3,0,21,2,2,65,319,6,146,3630,4,2,15,0,7,78,308,13,28,10972,2,42,1,1,4,39,4,18,2361,18,51,2,0,209,1,0,0,3,0,8,0,153,0,11,0,4,31,10,15,2,101,6,0,0,1,74,0,3,0,21,2,0,0,1,0,3,44,2,0,2,4,2,2,1,2,0,0,0,0,0,1,0,0,0,0
"TCGA.86.8672.01A1",0,47,126,64,1049,156,9,2,92,20,37,34,47,23,3,1,314,160,1867,44,468,55,2,16548,793,0,0,1299,1,285,24,0,1,18,2974,139,0,28,1,0,40,50,3,23,2930,3,1,25,0,1,23,0,3,3,8392,2,2,0,1,0,165,4,166,1714,5,23,0,0,114,0,8,1,1,0,0,0,0,0,3,0,4,2,80,6,4,6,21,8,1,0,3357,1,2,1,0,0,0,0,1,0,1,9,377,2,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
