"","FGL1","CALCA","SPP2","SPINK4","DNAJC12","CELF3","KIF12","NPC1L1","AKR7A3","ASCL1","RGS7","MTMR7","C1ORF127","LRRC75A","QPCT","TFF3","PCSK1","MSMB","TMEM72","FGF9","CALY","CA5A","ATP2A3","RNF186","HMGB3","CTNND2","OPRD1","ENTPD8","SST","PCP4","TTR","CCDC154","F10","CACNB2","DDC","IL17C","PNPLA7","SEC11C","CLCNKB","AC005885.1","CACNA1H","KCNK16","RET","SCN3A","SLC7A9","SSTR1","PPFIA2","C10ORF71","OBP2A","FAM135B","RFX4","THPO","TENM1","TPSG1","VWA5B2","RFX6","CYP2B6","MEP1A","PYY","SLC7A14","SLC38A8","LCN15","CLCNKA","HGNC:24955","RAB3C","CCDC196","CAMKV","KCNH6","RTBDN","PPARGC1A","PRLHR","ANXA13","MYT1","RPRML","CHRNB2","INSL6","PAX7","INSM2","NRSN1","DLL3","SYT4","PRLH","DPP10","HIST1H2BA","SOX3","PNMA6F","NKX2-2","XKR7","BEX1","ALLC","NEUROG3","AC113554.2","ACTL8","HRH3","AKAIN1","SEPT14","ZIC3","ACTL9","PTF1A","GJA10","GPR119","MAGEB10"
"TCGA.86.8076.01A1",175,21,11,173,2404,7,103,33,120,18,6,118,66,148,401,7140,65,212,6,40,3,15,6824,23,17483,40,16,131,2,163,30,24,134,71,56,168,485,6694,33,25,654,1,111,92,8,341,20,51,4,4,1,39,290,4,46,3,2,65,7,4,0,0,42,6,71,2,0,9,2,1895,0,17,7,5,17,0,71,2,3,71,2,0,74,0,0,0,1,8,5,0,6,0,6,1,0,0,1,0,0,0,0,0
"TCGA.78.7159.01A1",16656,87914,42,10,3190,349,225,49,2671,11804,168,679,101,368,2374,33853,2065,8941,47,34,103,34,6191,69,34908,1166,391,242,7,1934,5,104,126,49,146,79,887,17048,82,25,338,1,4679,1469,13,101,4,115,488,4,1,1033,512,2,39,0,0,13,15,2,185,160,18,2,32,2,1,4,2,726,0,2,287,1,8,0,222,0,0,1035,3,1,17,2,0,5,0,0,253,5,0,2,0,0,0,1,425,0,1,0,0,0
"TCGA.38.7271.01A1",42,11,2,0,356,9,28,0,3,23,34,42,23,87,324,250,76,6,18,55,7,3,5489,2,4381,137,20,11,4,49,3,5,160,61,44,6,128,2735,15,1,240,0,66,37,1,97,37,0,2,1,2,7,43,6,5,0,0,21,2,1,0,1,2,1,78,1,0,23,6,49,1,2,8,3,7,0,1,0,0,5,11,0,67,1,0,0,0,11,7,0,1,0,0,1,4,0,0,0,0,0,0,0
"TCGA.86.7711.01A1",203,0,0,4,139,0,16,6,283,1,2,119,18,57,564,33,274,209,1,3,1,11,1709,0,10233,3,37,26,0,18,0,11,57,88,2,92,66,3551,3,0,311,1,66,53,15,13,28,0,0,4,0,7,27,7,18,0,3,2,1,1,0,0,3,2,21,0,0,1,61,33,0,6,2,1,8,1,0,3,0,8,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"TCGA.44.3919.01A1",283,8,33,0,647,2,306,89,34,3,69,66,55,247,407,9946,39,21,3,35,136,10,5670,68,23769,44,24,49,0,2065,6,177,226,123,18,2,341,4913,56,0,422,7,120,203,44,148,92,30,2,5,5,156,59,21,15,1,2,17,10,0,1,0,15,2,21,0,2,13,445,64,0,6,55,3,16,1,0,5,1,4,2,1,385,0,1,0,0,9,10,0,9,1,0,0,1,0,1,0,0,0,0,0
"TCGA.69.8255.01A1",38973,101,13,3,526,6,1031,66,801,3,0,323,103,97,223,68,118,4,24,15,9,295,4831,220,28819,37,341,1162,0,26,950,86,594,1820,1114,15,641,7678,15,0,2028,0,18,24,189,69,24,0,2,1,1,1801,2833,13,37,763,272,50,23,3,3,136,94,3,13,3,63,587,33,1316,0,12,2,3,44,2,0,3,12,106,0,0,8,8,1,0,0,3,12,2,4,9,71,11,1,197,0,3,0,128,0,0
"TCGA.73.7498.01A1",1175,3,43,213,2357,67,4486,30,462,30,1,217,89,353,431,1459,18,221,17,89,16,8,7762,17,64449,30,69,691,0,12,5,92,464,272,40,0,1883,3817,135,1,2020,3,175,35,16,370,113,63,15,9,2,368,7314,31,21,0,17,13,8,1,3,5,270,2,59,0,0,15,3,1118,0,0,28,7,25,4,84,8,2,10,2,0,65,1,0,0,0,4,16,0,0,2,1,0,2,0,0,0,1,0,0,1
"TCGA.NJ.A55O.01A1",162,21915,0,5516,4991,15,639,21,5012,44,49,108,69,113,177,3374,122,52597,5,15,1,9,7921,137,4075,60,17,1103,92,42,7,35,1383,3164,68,3,682,2017,39,21,8926,3,274,11,30,1412,8,5,0,15,4,86,769,17,7,440,4,28,2,2,0,3,52,16,105,0,0,10,2,1323,0,40,8,0,9,5,15,0,1,13,9,4,259,1,0,0,1,1,12,0,2,1,0,3,1,0,0,0,0,0,0,1
"TCGA.44.2657.01A1",3,2,4,0,64,0,63,3,27,7,7,49,68,223,560,1035,8,203,13,89,6,4,5364,9,4461,10,17,24,0,191,0,40,143,78,23,1,413,3945,320,0,156,3,73,34,6,94,21,3,0,2,1,7,64,10,16,0,4,5,8,0,1,0,79,3,39,1,3,6,32,165,1,1,18,5,1,0,0,3,0,40,4,0,144,0,0,0,0,5,4,0,1,0,0,0,0,1,4,0,0,0,0,0
"TCGA.86.8672.01A1",166,2,4,148,1046,2,89,13,525,4,3,63,12,47,539,692,26,1233,1,68,57,2,2730,12,13467,0,13,236,0,21,1,21,61,37,60,6,206,1480,6,0,129,0,27,7,6,0,31,0,4,0,1,21,5,7,8,0,0,9,2,1,0,0,2,1,26,3,2,5,1,5,0,7,6,18,4,0,30,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,4,0,0,0,0,0,0,2,0,0
