"","MSGN1","HS3ST4","CDH22","ASCL4","CGA","CSN3","NPTX1","TRPA1","KRT85","BLOC1S5-TXNDC5","FABP7","SLC17A7","CHRNA9","LRRC38","PRKAG3","DAB1","NEUROD1","UMODL1","TAT","MMP27","KL","HDGFL1","GLP2R","GDF6","BMP6","HTR1F","CIB4","LIN28A","EMX2","BPIFB2","GRM4","PSG4","DMRTC2","CNTN2","LYZL4","MUCL1","ART3","GSTA5","ABCC12","PSORS1C2","TFAP2B","COLEC10","HCRTR2","TEX48","FAM228A","LEFTY1","CTXN3","PDIA2","RERGL","FAM205A","CYP2A6","TRIM71","RBP3","MAB21L1","AMER2","COX8C","CHRDL2","ISX","CKM","C1QTNF9","FAM153C","KISS1","KLK12","HIST1H4A","KIAA1210","LRRTM4","CLCA1","HTN1","SPIC","ADAMTS18","SCN2A","CYP1A1","CLVS2","LRTM1","PHOX2B","TKTL1","TCHHL1","HIST1H3G","CHST8","HIST1H4L","CGB5","S100G","NTSR2","HIST1H4F","SMOC1","EDDM3B","PRAC1","HAO1","MC3R","LHX3","OR6T1","CSN2","BANF2","HIST1H2BB","KCNU1","HOXB1","TPH2","LYPD4","AC187653.1","CYP1A2","TCERG1L","SPDYC","HOXB9","SSX1","PSG3","FRG2","KRTAP16-1","OPRM1","GABRA4","IQCJ","SPAG11B","GAD2","REG3A","SLC6A5","H2AFB1","ZSWIM2","NPHS2","HIST1H1A","PAGE1","SOX14","AADACL3","PIRT","CLEC2A","HMGB4","ALPI","SLC17A6","PRAMEF20","KRTAP13-2","GH2","GSG1L2","SPAG11A","NKX2-6","RIT2","PPP1R3A","SPATA31D1","OR2V2","DCAF4L2"
"TCGA.86.8076.01A1",0,0,11,2,0,0,277,8,0,11,95,15,28,0,0,17,6,318,68,0,137,0,9,0,301,17,2,3,2,193,30,0,4,6,1,64,9,7,2,9,3,10,3,0,9,23,0,529,7,1,15,47,0,2,3,4,165,1,13,2,2,15,82,0,2,3,0,0,6,21,7,2948,0,0,55,12,0,12,8,0,0,1,1,0,2275,0,0,2,0,0,0,0,1,1,32,3,0,1,0,20,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2031,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
"TCGA.78.7159.01A1",0,3,7,1,113,0,1837,7,1,1337,13,9,490,0,1,6,0,4793,34,0,156,0,2,5,12001,68,0,1,1,22409,33,0,2,1,1,1,1,0,1,1,0,11,2,9,0,12,0,52,2376,0,26,5,0,1,4,2,240,0,9,7,1,30,6417,2,60,122,18,0,1,24,857,1,0,0,8,56,0,2,5,0,2,1,0,0,4485,0,0,0,0,0,0,0,1,2,25,2,1,0,0,2,1,32,124,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA.38.7271.01A1",0,1,16,0,0,2,3667,5,0,13,18,12,5,1,0,11,0,74,9,0,98,0,11,9,211,4,0,0,0,10,9,0,1,42,0,0,1,2,1,0,0,1,2,2,4,8,0,3,7,1,4,24,2,2,1,0,573,1,8,3,3,20,7,0,2,2,0,0,9,6,5,1,1,1,0,7,0,7,26,0,0,1,0,0,94,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,9,1,3,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA.86.7711.01A1",0,0,0,2,1,0,34,588,0,12,1,30,8,0,10,81,0,42,8,2,60,0,4,9,169,15,28,0,0,0,8,0,5,0,0,3,3,0,0,274,0,21,0,0,2,6,0,15,0,13,3,3,0,0,5,1,7853,0,28,0,0,7,0,1,5,6,0,0,3,4,343,0,0,0,0,3,39,226,2,0,0,0,0,1,27,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,3,117,2,8,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,84
"TCGA.44.3919.01A1",0,0,4,5,1,0,22023,21,0,15,115,85,24,7,3,12,46,658,15,0,123,0,21,13,234,13,2,1,0,172,15,0,1,10,4,4,13,6,6,15,1,12,3,4,9,35,1,21,6,3,7,23,0,15,4,1,124,0,92,10,7,113,462,2,2,6,0,0,3,31,13,0,0,0,1,13,0,6,4,0,2,0,0,1,142,2,0,1,0,0,1,0,1,0,0,5,2,0,0,3,0,2,84,1,0,3,1,0,0,0,0,5,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA.69.8255.01A1",0,0,0,0,14559,2,28,15,1,17,1,226,6,1,2,6,0,11,479,0,52,0,1,3,206,8,0,285,1,2,64,0,2,2,0,1,13,2,1,3,0,6,0,3,17,5,0,69,8,0,27,25,0,0,6,0,931,43,50,1,6,63,0,5,3,4,0,0,1,3,346,961,1,2,0,42,0,107,4,1,0,1,4,1,315,0,12,66,0,2,0,0,0,1,1,1,23,0,0,7,3,612,159,21,0,8,0,5,0,0,0,0,13,0,0,1,1,0,5,0,0,0,0,0,0,0,9,0,3,0,0,0,0,1,0,0,1
"TCGA.73.7498.01A1",1,5,13,2,1,2,358,4,0,30,3,25,12,8,7,30,0,154,42,0,457,0,17,7,614,32,7,0,0,194,6,0,0,18,1,4,7,0,2,30,1,26,3,1,3,18,1,20,47,6,47,86,0,15,3,2,911,1,15,11,11,59,248,2,5,43,0,0,3,30,15,1,0,0,9,2,0,2,24,0,0,2,0,0,396,0,0,0,0,0,0,0,0,1,4,3,0,0,1,3,3,1,7,0,0,0,2,0,0,0,0,1,0,1,0,3,0,0,0,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA.NJ.A55O.01A1",0,0,0,0,25199,0,74,5,0,67,4,11,0,0,5,16,0,34,26,0,173,0,13,5,1547,6,2,0,0,209,4,0,0,3,0,7,0,3,1,13,2,11,1,2,43,10,0,10,1,1,12,105,0,3,0,0,44,0,2,9,25,21,3,2,0,4,0,0,0,10,7,2,0,0,44,4,0,28,8,0,0,0,0,0,27876,0,0,0,0,0,0,1,0,0,61,0,1,0,765,0,0,2,59,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA.44.2657.01A1",0,1,9,1,1,2,1296,11,2,24,1,25,2,6,1,7,1,64,8,0,160,0,5,6,468,13,0,0,3,5,21,0,1,32,0,4,4,4,42,3,10,11,1,1,4,17,0,11,34,0,245,64,0,4,3,1,318,71,40,0,13,11,8,0,1,5,0,0,3,20,25,0,0,0,0,10,3,7,37,0,8,1,0,0,166,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,74,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"TCGA.86.8672.01A1",0,3,1,1,2,0,47,20,4,15,1,4,5,2,0,4,0,21,11,0,8,2,15,39,128,10,0,0,5,7,3,0,0,1,0,3,4,1,0,7,0,1,1,0,3,1,0,30,0,0,1,0,0,0,1,0,84,0,15,1,1,3,6,1,1,4,0,0,0,11,2,0,0,0,1,0,0,1,1,0,8,0,0,0,17,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
