"","PON1","NRXN1","APOBEC2","AP3B2","CST5","GCGR","GFRA3","LMO1","CHRNA4","GABRR1","GAP43","SOD3","TMEM61","GHRH","PAK3","FRMPD4","STMN4","HCN4","ADCY2","SERPINA5","ASB4","SCG5","KCNMB2","MGAT4C","GRIA3","ATP1A2","HAND2","LCN12","SYNGR4","GRIN1","SCGN","MB","NEUROG1","DIRAS3","DSCAML1","KCNC1","PKIB","COL22A1","HAPLN2","SLC4A10","TTBK1","KCNK3","RIPPLY2","KCNJ4","RALYL","RXRG","CELF4","LHFPL5","MS4A8","RNF182","C2CD4B","GRIA2","DCX","CADM2","ZFR2","CPNE4","TCEAL5","CST2","HEPACAM","KCNA1","PCDHA8","NOVA1","PLP1","SNAP91","ONECUT2","KCNB1","C22ORF42","TAGLN3","EPHA8","PCDHB1","RGS8","GPC5","TMEM114","SYT13","GP2","VWC2L","CACNG2","COL20A1","GHSR","ZDHHC22","SOX1","AMER3","SPHKAP","C8ORF86"
"TCGA.86.8076.01A1",312,18,6,28,9,23,597,31,0,2,8,3195,56,0,744,5,0,99,66,64,26,162,34,11,10,247,0,57,1,51,5,601,0,74,120,1,712,90,2,40,37,420,4,2,1,23,46,8,2406,46,194,2,1,17,25,488,2,39,0,13,17,133,3,15,333,119,13,23,3,10,5,298,9,5,7,7,0,0,0,1,0,1,3,1
"TCGA.78.7159.01A1",146,1,80,9,0,1,6032,1,0,0,17,1113,250,1,3352,1,1,2,15,136,25,865,1,0,0,27,0,60,1,175,1,472,0,9,30,2,124,75,1,17,303,153,1,0,0,60,34,4,50,21,317,0,1,2,3,28,10,30,1,1,5,6,0,6,100,3,1,1,0,6,2,12,0,0,25536,0,0,3,0,0,0,0,0,0
"TCGA.38.7271.01A1",6,8,7,28,17,0,130,1,5,1,4,1881,40,0,98,2,3,27,30,184,6,127,7,16,21,89,0,5,3,50,37,89,0,158,24,0,257,142,4,7,25,559,1,0,0,15,24,1,60,31,106,2,8,32,11,81,2,133,3,2,2,80,7,61,71,8,0,7,0,2,2,30,0,47,68,1,1,0,4,1,1,1,24,0
"TCGA.86.7711.01A1",114,30,1,18,0,7,10,27,0,8,6,11172,226,0,34,0,0,5,27,66,61,317,12,89,15,3,0,34,16,15,0,55,0,17,4,0,562,280,3,35,11,45814,1,0,0,2,245,197,0,9,290,88,0,84,5,24,1,5,0,10,0,55,0,1,25,4,2,1,3,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0
"TCGA.44.3919.01A1",149,7,49,56,57,4,426,0,2,1,27,3413,90,1,104,3,0,34,85,63,31,818,3,2,13,206,0,50,12,15,2,295,0,858,159,7,2271,148,3,37,49,215,0,5,1,25,123,16,317,150,168,12,0,66,1,353,4,343,0,2,15,217,17,17,387,16,0,5,0,51,13,87,5,11,0,2,0,2,0,0,0,1,2,0
"TCGA.69.8255.01A1",9,10,21,351,3,63,362,0,3,28,2,712,68,4,78,1,1,2,10,111,1,274,7,16,1,18,2,571,27,105,15,6,0,15,8,4,755,7,6,9,90,57,194,31,47,33,32,2,0,12,25,30,0,391,20,9,5,5,0,1,37,80,1,7,1773,2,2,0,9,12,0,228,1,20,15,0,1,6,1,1,0,1,0,0
"TCGA.73.7498.01A1",94,11,28,18,121,5,2301,3,3,0,7,3460,213,0,2616,21,1,18,126,37,153,466,8,9,46,1089,2,428,4,135,4,128,0,98,79,2,101,85,20,20,23,5380,1,3,2,55,85,2,71,133,56,2,0,10,11,554,0,468,1,2,13,55,7,3,9,46,0,0,0,3,4,98,2,16,0,1,0,0,0,2,1,0,7,2
"TCGA.NJ.A55O.01A1",31,15,24,21,27,1,74,2,1,30,1,1177,215,0,15,2,0,61,11,5,184,57,5,4,15,67,0,84,1,117,5,7,0,49,30,0,335,16,5,5,15,899,1,0,0,133,23,13,111,25,97,3,0,6,6,327,0,94,1,0,15,30,4,2,2,2,0,0,9,1,1,49,1,1291,5,0,0,1,0,1,1,0,2,0
"TCGA.44.2657.01A1",51,8,7,92,113,2,783,1,1,5,5,2489,23,0,51,2,2,5,88,222,32,229,15,5,20,163,1,78,1,61,0,39,0,55,31,3,73,304,1,4,21,259,0,0,1,61,73,6,376,21,80,5,1,13,115,37,2,110,1,4,2,90,6,39,27,9,1,6,7,11,1,140,3,341,3,0,0,0,0,1,55,0,1,0
"TCGA.86.8672.01A1",4,0,0,15,1,40,5,1,4,1,9,1427,44,0,42,1,0,9,15,80,1,134,0,2,4,3,1,20,12,20,0,199,0,16,6,1,1082,117,4,3,15,21,0,1,0,0,55,15,3,2,39,0,0,2,1,46,0,30,0,0,4,33,2,0,47,0,0,0,0,0,4,0,0,0,0,2,2,8,0,0,0,1,0,0
