"","KRT74","LY6G6C","RBP1","PRR9","ENPP3","DLX1","AC024940.1","SH3GL3","DLX2","C6ORF15","COL19A1","CEP112","SYN2","SYT14","CLSTN2","NEFL","ERVMER34-1","HS3ST3A1","PENK","MORC1","PTPRD","CABP1","PRDM13","LY6G6E","S100A3","GSC2","DDN","SHISA9","TRPM3","TRIM54","LIX1","NEUROG2","GGH","FGF3","SORCS3","RHBDL3","NEFM","MSX1","SLC9A2","CPSF4L","AJAP1","PCSK1N","AL662899.2","DKK4","CLDN11","LY6G6F","KCNJ9","IGLON5","FAM26D","KRT23","LRP1B","ASCL5","TDGF1","MANSC4","TUBA3E","GUCA1A","MME","BMP4","SLC30A3","GABRA3","LY6G6D","SP5","STXBP5L","FABP12","SSTR4","ZCCHC12","RSPO2","CCBE1","CT45A1","CT45A3","FGF4","OLIG1","GPHB5","GBX2","ZNF536","CT45A10","POU3F3","SLC9A4","BEST3","CNPY1","SHISA6","CT45A5","WNT16","PRR35","AL662899.1","FGF19","UTF1","DPPA3","ADAM2","FAM19A4","DBX1","CPLX2","OTOR","GUCA1C","PRSS56","OR10S1","EDN3","LHX8","NPY2R","OLFM3","PROKR2","DRD3","DEFA5","LYZL2","OR2A4","AMBN","KRTAP19-5"
"TCGA.86.8076.01A1",1,2,647,0,1223,4,18,21,0,0,30,649,15,6,110,18,177,56,13,0,317,3,1,0,67,0,17,6,10,15,5,0,587,0,0,24,4,68,13,0,26,171,1,0,362,0,1,80,0,173,11,134,24,4,2,8,123,215,26,2,0,63,4,0,0,8,37,253,0,0,0,6,0,0,8,0,4,3,3,0,28,0,20,0,0,0,4,0,0,4,0,24,0,0,1,0,1,0,0,2,0,0,2,0,2,0,0
"TCGA.78.7159.01A1",0,4,549,0,82,3,23,0,0,0,24,818,10,4,494,1,937,40,2,0,119,5,1,0,39,0,31,1,9,245,6,0,1005,4,0,37,0,89,12,2,23,450,0,1,586,0,0,10,0,39,0,23,33,0,1,6,186,123,545,0,1,25,1,0,0,34,17,135,0,0,2,1,0,211,3,0,0,0,2,0,23,0,9,2,0,18,0,0,18,0,0,15,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0
"TCGA.38.7271.01A1",0,3,597,0,301,2,15,1,1,7,63,345,17,2,100,6,32,92,33,0,211,1,0,0,15,0,23,0,4,7,5,0,514,0,0,7,4,32,7,1,25,137,0,1,211,0,0,10,0,20,3,2,16,0,1,0,181,414,15,2,0,131,3,0,0,61,232,173,0,0,0,13,0,0,3,0,0,2,1,2,1,0,27,0,0,0,2,0,0,0,0,153,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0
"TCGA.86.7711.01A1",0,6,543,0,10,4,150,2,0,0,13,396,3,2,184,0,455,163,5,0,357,11,0,0,122,0,9,2,4,110,23,0,9933,0,3,49,10,75,1521,10,11,2,0,0,115,0,4,990,1,153,94,3,2,4,1,61,54397,99,10,647,0,68,1,3,0,6,11,199,0,0,1,5,0,5,0,0,0,101,3,0,9,0,1,0,0,0,0,0,0,1,0,106,10,0,3,0,0,0,0,15,0,1,0,7,0,0,0
"TCGA.44.3919.01A1",0,2,2060,1,1235,6,24,7,1,1,18,1041,5,4,495,28,42,80,107,0,396,24,1,0,92,0,10,0,11,194,1,10,1390,1,9,129,3,108,27,1,30,55,0,2,184,0,0,33,0,4,8,120,8,4,0,13,1695,562,21,10,0,136,8,0,1,24,74,425,0,0,0,15,1,0,17,0,0,1,2,0,21,0,13,0,0,0,1,3,0,3,0,4,1,0,3,0,9,49,0,0,0,1,0,0,0,0,0
"TCGA.69.8255.01A1",1,4,740,0,212,5,21,4,35,0,7,562,21,2,25,4,977,35,2,3,31,30,10,1,39,0,568,2,10,23,4,2,4851,1,1,9,6,37,9,3,17,3263,1,7,98,0,5,23,1,21,37,3,4,21,1,10,244,172,63,7,0,481,6,2,0,1,23,103,904,5,2,0,0,3,2,676,10,0,2,1,3,16,25,0,0,5,1,4,30,1,1,15163,0,0,5,0,1,0,0,20,1,0,1,7,1,4,1
"TCGA.73.7498.01A1",2,4,547,0,297,4,15,6,0,0,6,1477,8,6,312,15,60,75,469,0,674,43,0,0,134,0,13,0,15,104,0,0,383,1,2,60,5,111,73,2,61,564,0,0,207,1,3,4,0,4,10,64,12,8,4,0,253,1304,197,2,0,103,1,2,6,75,177,359,0,0,0,101,0,1,52,2,2,0,0,0,37,0,18,0,0,3,15,2,0,2,0,27,1,0,2,0,55,0,0,0,0,1,0,2,1,2,0
"TCGA.NJ.A55O.01A1",0,8,494,0,11,0,9,32,0,0,2,507,28,3,64,68,133,13,23,0,229,3,0,1,79,1,6,0,7,8,0,0,323,1,4,24,11,23,21,4,4,393,0,2,53,0,0,3,0,2,1,42,5,0,1,0,362,181,4,68,0,158,2,1,1,11,37,103,0,0,0,10,0,0,3,0,0,2,3,0,5,0,8,0,0,222,0,0,0,2,0,30,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
"TCGA.44.2657.01A1",0,1,920,0,47,0,21,1,0,0,32,391,12,2,75,3,139,42,105,0,101,8,1,0,42,0,10,3,17,21,4,1,761,0,2,55,16,25,322,2,49,420,0,0,515,0,2,7,0,74,8,32,6,17,0,1,1173,857,123,21,0,139,1,0,0,110,115,137,0,0,0,49,0,1,4,0,13,18,1,0,59,0,37,1,0,5,1,0,1,17,1,3,0,0,0,0,31,0,0,0,3,1,0,1,0,0,0
"TCGA.86.8672.01A1",0,2,293,0,2,0,9,0,1,0,1,295,1,0,254,0,639,51,3,0,139,4,0,0,53,0,23,0,5,9,6,1,1301,0,1,4,1,94,4,4,26,50,0,0,44,0,0,35,0,2,0,10,0,0,0,33,80,1289,2,0,0,533,0,0,0,9,0,135,0,0,1,1,0,0,1,0,0,0,4,1,7,0,5,2,0,16,0,0,0,0,0,3244,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"TCGA.L9.A443.01A1",2,1,387,0,37,21,43,16,0,0,4,2207,13,15,75,1357,144,37,107,0,277,82,33,0,55,0,35,0,9,1303,8,0,468,0,7,23,5,135,40,0,15,4050,0,0,222,0,3,25,0,82,0,63,13,15,0,1,100,686,21,5,0,175,3,0,0,31,50,75,0,0,0,21,0,0,4,0,0,0,2,11,12,0,13,0,0,0,2,2,0,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"TCGA.35.4122.01A1",0,0,1309,0,301,1,86,5,3,85,1,197,30,288,64,40,660,56,7,1,118,7,2,0,306,0,12,6,11,158,12,0,4667,0,0,2,49,55,1,5,5,264,0,0,633,0,0,4,0,59,13,52,4,0,0,57,858,442,2,161,2,94,9,0,0,1,23,98,0,0,0,4,0,1,0,0,0,0,15,0,6,0,56,0,0,55,1,0,3,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"TCGA.64.5778.01A1",1,0,524,0,535,1,12,2,0,1,6,653,5,4,15,8,13,27,23,0,79,2,0,0,47,0,24,2,6,126,0,0,2160,0,1,55,0,13,15,1,9,5990,0,1,142,0,2,1,0,31,1,13,5,6,0,1,947,573,10,1,0,61,1,0,0,37,32,84,0,0,0,5,0,0,98,1,0,4,0,0,4,0,12,2,0,478,0,1,0,6,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"TCGA.86.8585.01A1",0,3,432,0,46,2,16,3,0,0,8,90,6,2,59,6,50,37,12,0,90,15,0,0,89,0,13,1,7,12,3,1,3277,0,0,2,0,25,181,4,6,37,0,0,24,0,1,11,0,6,0,15,1,4,0,12,306,73,7,267,0,3,2,0,0,12,3,63,0,0,0,3,0,1,0,0,0,13,0,0,2,0,4,3,0,0,2,0,9,2,0,1,0,0,0,0,1,0,0,0,0,0,0,15,1,0,0
"TCGA.55.6970.01A1",0,5,438,0,82,0,1,37,0,0,20,715,37,34,43,66,122,30,590,0,442,1,1,3,80,0,2,1,11,8,4,3,3269,0,1,15,1,39,327,1,23,133,0,1,150,0,0,13,0,9,203,28,7,1,4,1,209,498,9,0,1,1135,9,1,1,4,117,298,0,0,1,9,0,9,3,0,0,0,0,0,15,0,12,0,0,25,3,0,0,2,0,1301,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0
