"","LTF","NUGGC","SERPINA5","GCSAM","CCDC141","MUSK","BCL11A","KLRG1","RGS13","TOX","AICDA","RGS9","PSMA8","BCL11B","FGD2","FBP2","C22ORF15","PPP1R16B","CNR2","MADCAM1","DTHD1","NPHS1","KEL","GPR18","SLC1A2","SPIB","TCL1A","ZNF831","DNER","STAR","RTP5","MGAM2","CPA5","SLC13A2","FCAMR","BTN1A1","KBTBD8","LRMP","ANK1","KIR3DX1","IRF8","VPREB3","CR2","TXLNB","ZNF80","NLRP6","JAKMIP1","POU2F2","CD19","NLRP4","IL2","CCL19","CD38","SERPINA9","VNN2","RHOH","BLK","CD8A","LY9","CD40LG","CD79B","CD69","CD72","PLA2G2D","STAP1","PDCD1","SH2D1A","BFSP2","MEF2B","IL16","EXOC3L4","PLEKHG7","TNFRSF13C","ST8SIA1","THEMIS","GZMK","TRAT1","FCMR","GPR174","CD48","RUNX3","CHST8","HIST1H3J","FCRLA","ITK","DMRTA2","CXCR4","TESPA1","VRTN","CAPN14","TAGAP","C16ORF54","IL24","POU2AF1","LINC00282","FCRL4","CLEC17A","P2RY10","GZMM","TF","KLHL6","FCER2","C12ORF42","PAX5","BTLA","POU4F1","CYTIP","CCL4L2","FCRL3","HSF5","SCML4","CD247","HEPACAM","SLC12A3","SLC35G3","SP140","CD79A","IL17REL","IKZF1","CD3D","TNR","TNFRSF13B","PYHIN1","MYBL2","CCR7","FAM129C","KCNA3","CD28","LAG3","ABCB11","CRTAM","AIM2","SLAMF6","AC119396.1","LCK","TMEM156","ICOS","IL7R","PNOC","MS4A1","TIGIT","PTPRC","RASGRP2","NCR3","CARMIL2","CD3E","CXCR5","REG4","TLR10","JCHAIN","CD5","UBD","CD37","IDO1","TTC24","DDX4","TMEM95","BEND4","NLRP11","NPTX1","ADAMDEC1","AC010616.1","ALPK2","EOMES","TIMD4","FLT3","FCRL1","SIRPG","CTLA4","LTA","INSM1","CXCL13","CR1","ZPBP2","LGALS9B","P2RX2","ISL2","CLEC4C","FDCSP","RGS7","SORCS3","P2RX5","UGT2B17","SHISA8","FCRL5","FCRL2"
"TCGA.DE.A0Y3.01B",67,11,3,100,8,0,100,11,1,47,0,18,0,64,101,0,2,196,10,11,1,0,4,7,13,9,2,21,5,2,1,0,0,0,1,4,30,57,16,0,111,2,23,2,2,0,11,97,3,0,1,6,39,0,15,74,0,379,18,12,34,133,100,3,10,33,15,3,10,134,3,0,17,51,42,17,1,245,4,101,128,5,1,28,84,0,902,24,0,1,142,42,55,247,0,0,8,23,30,6,98,3,0,6,7,0,162,23,5,1,13,76,0,6,0,37,122,2,283,86,0,6,21,66,46,5,11,40,105,0,24,6,50,7,151,6,24,193,2,12,74,735,35,1,30,304,3,0,35,3546,118,10,308,52,0,0,0,17,0,3,31,0,2,17,42,7,2,30,30,12,2,2,13,1,0,1,0,1,0,0,0,6,2,0,13,9
"TCGA.ET.A2N3.01B",479,84,0,97,28,7,488,67,0,306,0,42,0,442,577,0,4,428,97,52,0,0,40,15,169,5,0,0,0,1,2,0,4,2,1,1,55,661,13,1,25,17,34,7,1,4,159,68,3,1,0,0,217,0,18,4,1,146,1,3,222,13,413,0,0,43,4,8,55,337,7,3,40,1049,2,1,0,111,0,23,51,7,6,1,8,2,1657,5,0,3,42,3,40,23,11,0,2,2,16,44,40,1,0,1,4,0,61,15,5,4,0,44,5,0,1,20,5,0,27,9,0,0,6,133,56,11,12,12,27,0,1,2,6,11,98,10,0,5,2,2,0,84,310,2,13,21,1,0,0,2,16,0,51,10,0,3,0,2,2,3,0,1,0,6,12,2,1,1,2,3,0,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0
"TCGA.ET.A3BQ.01B",222,21,5,74,84,3,271,79,12,140,0,113,1,99,215,0,2,1025,10,30,2,0,6,18,21,10,3,21,1,6,2,2,3,1,2,5,113,371,66,0,493,7,23,21,7,5,21,137,2,2,0,42,42,0,31,209,6,317,49,30,285,548,121,18,16,63,27,9,23,581,7,1,113,35,26,40,23,191,10,221,139,16,1,5,98,1,3806,47,1,8,282,47,73,67,1,0,17,18,46,12,303,4,0,3,9,1,285,265,10,1,35,121,1,3,0,60,23,2,297,71,2,1,34,139,71,13,31,35,39,0,33,27,75,9,271,32,18,290,3,18,64,1073,355,12,55,221,3,0,21,217,89,2,713,30,3,2,0,5,0,2,25,2,11,49,57,11,3,28,52,7,0,5,35,1,0,1,0,0,0,0,0,6,0,5,50,2
"TCGA.FY.A3I5.01B",425,312,17,247,65,13,171,86,44,1334,23,103,6,749,441,1,8,917,61,103,26,5,60,89,506,163,198,149,0,8,10,5,8,10,37,7,173,1257,40,6,897,87,528,24,37,17,171,564,288,16,2,1355,189,42,127,526,184,797,298,103,682,654,438,148,82,122,142,40,49,1592,28,1,300,976,111,304,114,933,63,725,651,15,5,211,420,7,4453,312,2,3,823,355,217,519,12,8,92,201,140,47,440,126,6,519,90,2,653,0,363,11,99,442,1,9,1,249,1393,16,1012,396,7,98,143,183,829,217,122,280,257,1,51,94,338,64,778,69,303,1709,40,1447,436,3347,1029,27,616,1227,21,3,257,1934,541,81,1414,543,34,1,2,20,3,6,76,13,23,69,127,47,267,143,234,28,7,359,61,0,0,2,5,7,160,3,1,114,5,8,212,154
"TCGA.DO.A2HM.01B",568,208,42,571,146,4,823,259,42,631,40,84,17,1251,3400,2,15,3796,551,27,134,47,212,370,118,1177,981,775,3,15,39,15,8,0,105,25,518,1993,189,10,6988,466,4623,265,47,55,227,2297,1633,7,3,3119,1554,59,495,1470,1693,1691,1029,383,3610,872,1207,644,556,404,755,40,27,5157,121,30,2156,455,337,1483,416,4828,220,4774,2707,23,0,1393,1657,1,8575,1086,8,37,2267,1400,970,3305,25,30,297,624,416,71,1918,1113,76,2490,660,9,2073,229,2221,40,570,1661,8,69,1,1466,6378,84,4928,1902,37,620,473,1091,3320,2106,426,1096,537,11,319,696,1470,358,2948,611,587,8735,351,10524,1323,14175,4542,217,1590,4808,188,3,1369,13394,1771,732,8281,3555,92,1,1,103,2,110,370,32,151,836,1396,609,1823,766,571,183,49,1244,1365,6,4,80,7,37,914,11,3,1146,17,44,1844,1248
"TCGA.DE.A4MD.06A",189,82,126,181,28,4,236,71,120,146,20,71,3,123,253,5,9,664,43,60,7,30,63,32,87,223,414,74,17,15,7,3,12,0,274,5,71,520,67,3,734,215,1809,37,3,15,15,281,312,7,3,1927,242,74,120,220,323,288,139,80,706,317,298,163,117,67,104,40,55,535,193,1,324,89,37,153,40,630,5,1122,497,40,2,281,234,2,1927,165,3,7,199,84,206,680,3,4,24,35,92,163,391,328,9,364,46,1,441,57,100,1,63,206,12,18,3,178,1268,11,630,393,23,63,89,771,393,203,9,113,134,1,50,80,177,16,383,74,47,725,49,1015,247,1288,583,40,229,1054,8,1,69,1279,245,104,1553,230,21,1,2,15,3,33,140,7,60,21,129,46,85,106,85,40,7,2003,126,4,1,24,1,0,1806,0,3,219,5,21,80,53
"TCGA.EM.A2CS.06A",495,39,35,115,2,0,220,40,3,17,0,57,0,57,362,0,6,450,15,30,1,0,10,20,3,2,1,7,1,4,1,0,10,1,1,0,42,111,37,0,239,7,12,30,2,18,7,74,9,0,0,119,15,0,30,49,18,198,12,1,217,129,136,0,5,23,9,2,25,259,26,3,66,30,4,13,3,103,0,160,33,26,1,0,18,0,1557,31,0,1,103,23,26,63,2,0,0,3,12,27,117,0,1,0,13,0,124,47,2,1,2,42,0,0,0,26,23,0,101,21,7,1,6,146,32,16,7,15,28,0,17,6,28,5,286,49,12,277,20,332,42,253,317,3,12,131,2,0,5,92,47,3,348,63,0,1,0,0,1,4,5,0,0,4,100,8,0,7,13,6,3,11,11,1,3,0,2,0,2,0,3,2,0,10,5,0
"TCGA.J8.A4HW.06A",625,139,51,325,43,28,633,118,71,411,51,92,4,1227,1506,8,11,2136,391,37,37,63,148,190,188,759,709,400,4,21,23,3,71,0,271,21,398,1399,134,2,3831,382,3358,68,35,32,47,1380,1493,27,7,3197,337,40,281,1056,1123,657,831,398,2153,1155,740,486,274,314,389,17,75,3062,208,11,1642,464,254,379,261,3214,153,2435,1907,35,0,751,1408,6,10112,1047,13,15,1789,696,557,1455,34,21,222,303,261,570,1263,1224,28,1927,381,2,2076,76,914,31,225,1219,4,30,2,765,3577,81,2878,1061,55,295,257,577,3644,1152,104,704,197,12,134,247,936,208,2261,200,286,7292,143,6236,876,8660,3163,89,1286,3470,117,7,766,2172,1733,193,4878,450,44,2,3,55,7,80,332,28,181,286,423,217,702,447,345,110,11,1883,665,2,1,30,2,13,1041,7,5,661,13,50,657,425
"TCGA.J8.A3O2.06A",31,8,10,35,18,2,189,55,5,59,3,32,0,71,500,2,0,529,12,55,9,1,15,17,3,4,8,33,2,4,2,0,6,0,0,7,50,241,35,1,220,4,24,16,1,9,20,121,2,0,0,34,30,0,40,126,15,303,25,26,63,144,198,5,13,65,24,1,47,257,18,1,24,20,23,66,12,230,10,130,115,2,8,5,98,1,2646,52,0,1,153,40,64,111,0,0,2,10,20,49,148,4,1,7,18,1,213,55,25,1,26,122,8,7,3,52,33,1,245,74,4,1,50,47,74,13,4,69,56,2,30,18,107,16,163,23,10,416,5,18,49,595,189,9,40,265,0,0,16,440,79,3,533,730,4,1,0,6,1,1,1,3,4,33,208,21,3,33,40,8,0,21,32,4,0,1,1,0,12,0,0,24,1,1,16,2
"TCGA.EM.A3FQ.06A",74,8,0,111,18,1,108,23,1,23,3,39,0,23,120,0,18,114,8,24,3,3,2,7,26,16,40,28,5,1,0,0,21,0,2,1,30,79,10,4,78,42,76,0,0,2,3,98,23,1,0,49,25,1,18,37,18,270,25,12,163,37,130,23,10,52,20,2,16,133,7,1,31,15,5,30,8,55,0,161,61,9,0,18,30,2,271,28,0,3,66,37,10,46,0,2,7,4,69,16,52,18,0,24,3,0,60,20,20,0,3,88,0,2,1,47,100,1,90,124,2,10,16,26,51,28,1,15,108,0,16,5,47,6,118,33,15,52,1,69,40,249,148,5,47,222,0,1,18,40,50,6,396,21,1,0,0,1,1,1,8,1,0,16,10,4,3,46,24,3,0,71,7,0,2,2,0,0,31,0,0,13,0,0,7,3
