"","x"
"1",1.60772042880653e-10
"2",0.0516818708565172
"3",0.000776030631779521
"4",0.00188273472649278
"5",0.00058973393292393
"6",2.02556084683675e-10
"7",0.000375913157160762
"8",4.7410063778423e-14
"9",1.21470060083273e-10
"10",1.55893532725962e-12
"11",6.47642852617886e-10
"12",9.29058897207858e-12
"13",1.04934789374191e-08
"14",1.57062913748608e-16
"15",6.98933076246135e-07
"16",7.01400842096981e-11
"17",0.00236005393168107
"18",5.94539346180547e-14
"19",5.65296147058602e-14
"20",5.64819424769132e-05
"21",1.06560155437756e-16
"22",9.48509748281746e-15
"23",2.06152492991131e-20
"24",8.66550764913481e-24
"25",3.73729818613713e-06
"26",1.85451944089079e-23
"27",3.6175592949435e-18
"28",2.77933891308673e-23
"29",4.41625278895803e-05
"30",2.96716132463597e-16
"31",3.98059272158902e-21
"32",1.78591514205534e-06
"33",3.38161002473374e-11
"34",1.67652286526408e-05
"35",2.79195081938239e-12
"36",8.61927486243133e-21
"37",1.26923431447601e-13
"38",2.0575372194523e-14
"39",6.79089653027388e-22
"40",2.0966503963611e-16
"41",1.70058927768811e-29
"42",3.5932261108731e-17
"43",7.74716526751463e-13
"44",1.57974411419837e-15
"45",7.09632040484645e-06
"46",1.79523893892768e-19
"47",2.93473460510456e-09
"48",1.51838276015186e-26
"49",9.53875901634207e-24
"50",1.84548337068786e-07
"51",1.44047267986195e-07
"52",4.05349518925958e-29
"53",1.04479541372999e-22
"54",2.88444114989927e-10
"55",4.8869473969916e-17
"56",5.59219855940684e-31
"57",5.82561434179286e-24
"58",2.83392000849572e-21
"59",2.52184903318238e-34
"60",7.58210191512159e-23
"61",1.19345922377205e-22
"62",4.34635415214243e-24
"63",1.5199819858941e-27
"64",6.28613763998472e-26
"65",6.46925659383883e-23
"66",1.45797284235742e-23
"67",1.23353450598167e-29
"68",4.00282918876624e-10
"69",2.65364875132962e-12
"70",2.80642037699628e-29
"71",3.23655937425521e-23
"72",8.66310604860821e-10
"73",2.59416661007449e-24
"74",2.98698253641098e-09
"75",1.6033463907551e-21
"76",1.43450324191547e-27
"77",1.04520219425573e-31
"78",8.40291358323906e-28
"79",6.01359904368437e-17
"80",6.34230295138763e-39
"81",9.16623738103133e-37
"82",1.89048075436477e-08
"83",0.000441618847947583
"84",1.03727602097235e-21
"85",4.33757810373051e-27
"86",1.02856827502927e-05
"87",1.58819400293089e-26
"88",1.45888120868246e-26
"89",9.54837131324653e-13
"90",4.0668255746531e-15
"91",1.69785486638386e-26
"92",4.32729553255086e-30
"93",2.65248944042208e-30
"94",7.06930789036542e-27
"95",8.53678047924046e-10
"96",4.37490482932845e-16
"97",2.94990190539892e-15
"98",3.61622785882914e-25
"99",3.86988100628214e-33
"100",1.04466904521739e-10
"101",3.02719433730269e-21
"102",7.62298778428225e-22
"103",2.37332473400644e-26
"104",1.34873636113402e-14
"105",2.46485151405771e-31
"106",1.78714972386542e-09
"107",3.47686743816575e-32
"108",1.30761353200685e-13
"109",2.70512810706863e-27
"110",1.83207089900064e-18
"111",5.9573188366489e-32
"112",4.08189400016178e-36
"113",0.000689523032028215
"114",1.01876013956333e-30
"115",7.49981357910183e-07
"116",3.4482633598864e-33
"117",4.82826583292775e-29
"118",4.52077800573821e-14
"119",2.57808452543185e-30
"120",2.75986694350142e-40
"121",4.87512406466518e-09
"122",1.46627208197475e-27
"123",2.40303357370075e-28
"124",2.09505564178498e-19
"125",1.80058576230865e-26
"126",5.32843149890426e-22
"127",5.37947354411734e-22
"128",3.23727915007551e-29
"129",1.46580231224539e-25
"130",2.06055539991301e-10
"131",3.49537482549758e-43
"132",1.49329755280059e-28
"133",7.38828086169822e-31
"134",6.14129483381233e-14
"135",4.56990417112542e-36
"136",1.29981975719547e-31
"137",5.25717687358058e-36
"138",2.05157865340983e-22
"139",8.36742551027701e-28
"140",6.96385352231048e-18
"141",4.40696747082158e-33
"142",6.81233820616283e-24
"143",3.5081516922852e-25
"144",8.44775755568861e-32
"145",1.48315272545924e-28
"146",1.17195767956537e-36
"147",1.75177912165883e-14
"148",8.7971511611701e-11
"149",4.75865683381145e-20
"150",2.60384557237032e-15
"151",1.84562286032971e-29
"152",4.85479522772152e-34
"153",1.09762318090881e-35
"154",2.72219611993725e-24
"155",5.09149482273149e-18
"156",1.51650422479886e-10
"157",1.02867045880737e-07
"158",5.95571225285277e-15
"159",4.5199446967079e-07
"160",3.90155004236268e-12
"161",2.46549674864956e-23
"162",4.54460807410196e-22
"163",1.28226300758556e-17
"164",6.08049395796083e-26
"165",2.74714851253955e-20
"166",1.11733300522286e-26
"167",5.65056117965104e-17
"168",4.89871324110703e-40
"169",4.22749938228349e-40
"170",1.1644608645513e-29
"171",7.84223989290685e-13
"172",1.87140780791477e-29
"173",8.69415222416532e-19
"174",3.82708940317368e-13
"175",9.87770075812461e-07
"176",7.4509605369856e-14
"177",4.99847960474113e-16
"178",1.13714630922549e-16
"179",1.03108595857574e-16
"180",4.70111708750895e-06
"181",0.0163308703857323
"182",2.13292873023399e-25
"183",2.13089383953212e-23
"184",2.60027019426716e-12
"185",5.07464172241836e-28
"186",1.11535404909225e-22
