"","FNDC4","ABCC11","ALDH3B2","EDIL3","CHST6","HOXD1","HP","GCKR","ENC1","ACOT12","FUT2","PLA2G2C","SLC6A14","ALPL","DGAT2L6","CNGA3","AOC1","ADRA2C","GDNF","PASK","SRPX2","PLPP4","TCN1","SLC28A3","CD177","STMN2","CA12","IL37","UGT3A2","TNNI3","TMEM255A","WDR49","CALB2","QRFPR","PRPH","CHGB","PKP2","DMBT1","BPIFB1","ABCC12","MTTP","PLEKHS1","ZFR2","C6ORF141","ATP12A","PROK1","FAM196A","HDC","ADH4","SUSD2","COL6A5","SEC14L4","GABRQ","CSMD2","IL31RA","SLC10A4","CORIN","INA","SCN8A","HGNC:18790","IZUMO1R","TGM5","RHCG","PAPPA2","CRYM","SERPINI2","ROS1","PCP4L1","PTH2R","F5","FADS6","FAM26D","NOTO","C6ORF10","KCNA4"
"TCGA.DE.A0Y3.01B",899,101,15,600,4,10,3,4,573,0,143,9,193,346,9,10,59,37,1,526,128,6,28,50,219,101,120,12,0,2,44,1,1,8,23,50,488,8,3,0,5,7,10,2,3,6,5,0,0,3431,1,0,26,16,6,7,33,2,110,15,4,2,0,18,10,1,0,12,3,543,1,0,1,0,0
"TCGA.ET.A2N3.01B",146,3,2,886,32,1,0,10,955,1,67,7,7,308,3,7,24,20,1,1298,63,7,4,40,3,0,10796,0,203,21,9,0,2,71,10,6,2,3,0,2,5,0,40,23,10,0,43,2,0,873,0,0,17,104,0,98,47,1,66,16,7,0,1,42,1,0,0,28,1,4,0,0,0,0,0
"TCGA.ET.A3BQ.01B",3974,66,10,1557,51,42,18,80,1397,13,90,3,40,1727,10,33,409,340,5,1662,122,23,11,44,16,261,351,0,21,2,189,2,121,165,49,499,885,161,27,2,3,17,61,11,88,2,80,11,0,4892,3,3,46,151,10,88,31,15,455,253,2,1,5,56,5,0,5,21,10,912,1,1,5,0,0
"TCGA.FY.A3I5.01B",225,24,1,832,21,0,2,3,667,0,80,4,0,846,0,6,9,468,2,1521,43,47,39,100,1,92,1120,0,0,0,57,3,31,98,6,10089,27,0,5,7,23,4,23,11,6,2,2,4,2,366,2,6,6,86,0,26,46,21,57,51,12,2,1,445,1,0,0,79,8,110,1,8,0,1,0
"TCGA.DO.A2HM.01B",2852,10,11,499,128,10,23,68,1405,1,815,4,1278,574,18,37,207,99,6,1811,432,87,23,907,74,21,103,49,3,0,247,21,57,9,5,158,135,2,168,1,15,262,15,106,5,7,20,221,0,1268,21,3,6,52,30,18,111,5,94,49,8,5,9,31,23,15,98,23,15,409,0,2,1,44,2
"TCGA.DE.A4MD.06A",3486,0,43,637,51,7,42,60,996,0,49,105,84,2205,15,7,23,832,1,620,327,9,21,13,5,40,1384,106,1,320,300,6,80,0,724,33,87,7,3,0,7,5,153,4,9,5,23,23,0,1025,1,0,8,67,2,6,15,1,28,18,3,8,3,111,18,3,0,67,6,609,3,0,2,2,0
"TCGA.EM.A2CS.06A",2620,81,148,1358,46,106,10,17,1221,7,120,6,1,1770,5,40,1063,304,5,11549,584,67,2246,31,30,398,8651,0,4,33,153,3,2,267,74,203,171,15,17,1,1,8,40,5,139,6,61,0,0,2244,0,6,23,85,2,33,37,40,271,272,6,0,1,11,9,2,0,98,0,293,5,4,4,1,0
"TCGA.J8.A4HW.06A",2698,80,40,234,315,6,447,44,1426,40,322,2,101,1978,11,30,126,158,53,8306,181,10,207,184,556,79,175,2,9,0,148,2,28,12,10,199,531,16,78,13,8,178,15,35,320,7,42,98,74,2543,290,21,15,74,15,37,37,27,181,212,2,5,6,50,26,0,250,49,35,1047,0,0,1,10,0
"TCGA.J8.A3O2.06A",1436,61,23,351,30,6,126,37,824,28,101,10,35,206,13,10,9,796,1,716,124,16,10,76,490,23,303,0,0,16,115,6,16,5,78,82,719,59,21,0,3,5,74,12,7,2,37,1,0,1108,2,3,34,5,4,47,37,8,303,298,3,1,7,30,3,0,0,7,8,308,1,0,1,3,0
"TCGA.EM.A3FQ.06A",1266,219,1,206,8,15,43,44,234,5,67,6,8,1471,0,65,18,118,0,5516,1,11,26,18,8,1,1814,0,2,65,122,2,5,50,8,5,55,1,17,27,4,3,15,2,6,21,11,7,1,5174,2,17,4,37,0,27,9,2,40,9,0,1,0,5,4,5,0,49,4,94,2,1,3,1,0
"TCGA.EM.A2P1.06A",1195,9,37,771,92,2,61,30,1003,3,312,10,925,501,15,4,24,28,6,831,304,71,17,894,1106,156,541,15,2,1,163,4,4,0,12,1665,374,5,64,0,26,2,11,59,42,7,35,7,0,1602,21,1,3,23,0,2,149,75,97,47,5,4,0,28,0,0,0,24,15,1156,1,0,3,0,0
"TCGA.EM.A3SU.06A",2325,68,60,578,169,1021,74,33,1400,64,422,11,282,2566,7,26,1156,139,15,5039,374,55,84,379,42,165,3735,46,0,3,277,4,44,4,28,319,548,9,59,0,8,92,61,42,74,15,55,119,1,3069,160,40,17,61,16,10,106,67,158,213,5,10,28,9,27,0,63,139,13,1228,0,0,3,6,2
"TCGA.J8.A3YH.06A",1657,290,10,785,15,52,42,30,1065,74,82,11,8,738,4,40,161,255,4,6608,114,20,11,32,33,290,2734,1,3,18,425,1,46,17,113,139,335,42,1,5,1,5,10,13,40,1,15,71,1,2325,6,55,55,40,11,21,34,1,495,110,4,1,3,57,0,2,2,49,21,297,2,2,6,13,0
