"","PID1","ABCA9","GRIA1","MMRN1","GPC3","ACKR2","NRXN1","MASP1","RELN","LYVE1","KLHL4","IGSF10","VSTM2A","FGF10","GLI1","DPT","TFPI","WNT11","F10","MYOC","ADH1C","SUCNR1","PIK3C2G","DCDC2C","NLGN3","C1QTNF7","TNNT3","FBLN5","FGL2","CFD","CHRDL1","SLC1A7","SLC17A7","FOXD3","ABCA10","FLRT2","DBX2","ABCA6","GDF10","PCSK6","BRINP3","PGM5","ADH1B","VIT","MYOZ3","NTN1","RSPO3","SVEP1","ART4","FAM180B","OSR1","AKNAD1","CHODL","FMO2","PODN","PLD5","CCBE1","GFRA1","SCARA5","RERGL","LRRN4CL","ZP2","HHIP","TNXB","KCNIP1","APOD","CYP8B1","STK32B","NDNF","KLHL33","FBLN1","SV2B","TMEM132C","ROBO3","PHF24","DES","TSPAN11","MYZAP","ANGPTL5","MFAP4","FAM135B","DAB1","DIO3","CHST9","MRAP2","PCOLCE2","CPED1","OTC","FLNC","DCN","ACTN3","C6","MAB21L1","HGF","NPY5R","FAM180A","GFRA3","OGN","ACSM2A","SOX21","CCL21","SCN3A","OLFML1","ALDH1A2","SRPX","HSPB6","FXYD1","L1TD1","TBX1","GSTM5","RHAG","LMX1A","OSTN","TSPAN8","ASPA","PI16","ABCA8","FMO1","TNFAIP8L3","HMGCLL1","LAMA2","BPI","FAM205C","IL33","EFNA5","PKDCC","PTGFR","MEOX2","BHLHE22","LGI1","CXCL12","GAS1","FGF7","PLCXD3","PRRX1","TMEM119","C14ORF180","KCND2","PDGFRA","FBLN2","LYPD6","COLEC12","NAV3","OMD","HTR2A","ENPP6","CNTN1","HAND2","MYH11","GFPT2","ZIC2","CMTM5","TSKS","C7","BMP5","MAB21L2","ZNF488","TRHDE","CDH19","SLC30A10","RGS7BP","OXGR1","KIAA1755","GLYATL2","GCOM1","C1S","GSC","OSR2","XPNPEP2"
"TCGA.DE.A0Y3.01B",15,11,0,87,11,57,0,9,7,65,7,7,2,1,5,8,238,10,8,18,0,87,0,0,10,17,20,693,398,245,37,5,1,0,21,559,0,28,1,20,1,119,0,1,15,42,5,43,10,0,9,0,43,43,57,0,10,2,2,0,0,0,8,726,0,119,3,17,11,1,160,4,0,253,26,74,30,33,4,165,5,10,0,0,2,13,79,2,80,468,1,0,1,37,0,10,1,10,6,2,25,6,42,85,84,15,3,7,12,17,0,0,0,31,9,2,298,2,40,3,140,0,0,193,111,15,0,10,3,0,584,65,15,63,232,55,0,5,82,790,6,135,16,4,20,3,5,0,728,175,1,0,2,457,1,1,4,1,5,0,2,2,30,0,8,420,3,2,2
"TCGA.ET.A2N3.01B",4,30,0,88,94,74,2,10,18,126,24,18,0,0,1,42,327,126,37,1,6,111,1,0,15,34,73,2439,88,1667,0,0,13,0,179,310,0,44,0,46,5,268,7,3,13,94,1,49,11,3,31,0,25,49,23,2,1,95,0,8,2,0,6,154,0,211,8,34,10,9,511,7,2,499,2,3,15,15,10,39,0,7,0,1,0,37,64,0,5,106,0,0,9,59,8,11,1,2,1,0,2,39,194,30,136,111,2,2,56,18,1,12,0,5,57,74,188,57,13,0,86,1,2,80,12,225,0,100,0,1,194,160,3405,31,882,63,11,0,37,310,9,47,114,1,1,8,0,4,713,27,5,4,11,4,0,44,15,0,0,4,1,10,3,0,1,175,53,15,2
"TCGA.ET.A3BQ.01B",108,57,2,346,175,74,0,11,84,230,80,49,0,1,31,412,802,30,101,71,1,641,0,3,56,92,21,3323,1735,384,330,24,92,0,44,722,8,98,44,150,39,832,81,1,65,120,76,554,84,8,37,3,52,197,541,11,15,104,8,94,23,1,7,1386,17,945,7,101,26,3,1483,37,13,211,34,105,275,33,13,535,2,11,2,0,5,18,293,0,252,3923,5,4,20,118,20,40,7,226,10,8,2234,137,348,44,457,376,24,9,163,128,1,2,0,10,146,259,3108,56,134,40,586,8,0,672,119,280,1,259,17,3,5387,127,106,88,1443,1023,2,9,275,4948,16,515,136,49,1,7,49,44,3255,265,0,8,9,1760,18,52,12,12,1,0,16,47,165,5,5,2616,24,57,10
"TCGA.FY.A3I5.01B",108,221,3,297,171,153,2,129,49,55,39,308,0,7,24,658,330,185,122,5,1,137,0,2,39,110,23,2236,1173,420,698,21,23,1,205,280,0,106,323,61,15,222,128,2226,51,47,68,362,108,620,33,1,39,44,429,16,15,217,257,46,15,1,15,661,5,142,15,43,8,1,2641,17,2,160,40,583,65,49,5,872,8,12,5,5,10,71,211,3,325,4091,1,7,8,215,21,89,0,250,1,3,1260,15,225,52,171,226,28,3,79,92,0,6,1,406,40,400,1535,3,338,4,1124,9,1,1764,47,312,101,117,8,5,2750,726,1053,98,1303,645,0,3,270,1469,6,115,55,142,10,11,128,15,3694,1783,0,4,5,1461,3,71,2,3,3,0,39,15,146,2,8,3400,10,139,20
"TCGA.DO.A2HM.01B",523,420,1,2740,411,113,13,32,1120,4742,219,635,0,50,56,2072,4218,78,130,61,15,654,0,0,47,136,99,1992,4563,866,3248,51,92,0,126,2229,6,827,252,483,1,1698,1622,99,25,330,188,2978,766,24,127,1,53,1113,797,110,156,1489,318,25,148,0,15,1863,34,1006,21,396,64,16,2981,104,153,500,126,1056,635,364,12,1758,21,52,122,0,63,755,427,44,991,11011,0,76,57,217,106,21,3,105,5,1,34732,121,570,272,442,325,37,68,533,165,2,0,5,168,199,283,606,47,511,12,506,12,4,3225,197,392,103,1099,134,0,17663,274,312,226,2794,1270,42,7,636,3246,117,1985,122,117,11,68,282,4,4282,398,8,10,60,11719,9,30,5,34,1,0,99,10,272,13,39,13286,12,111,39
"TCGA.DE.A4MD.06A",229,249,1,592,581,140,21,76,67,586,156,111,1,26,87,6241,1505,366,486,236,60,88,0,0,43,79,310,5024,999,6685,4876,103,292,0,160,1371,2,333,221,211,18,450,1648,500,25,82,103,1075,219,376,732,17,40,181,3492,20,11,639,2925,69,670,1,18,6460,17,10914,8,117,20,0,19157,86,119,464,43,1142,268,80,148,8342,8,15,17,0,17,1038,312,1,792,46043,6,281,10,160,37,136,11,2671,0,2,10538,21,845,126,1197,1709,55,33,221,353,1,28,3,184,117,10004,802,120,827,37,978,7,1,942,104,594,30,292,61,52,5130,1936,553,100,3903,2597,47,47,1487,17436,23,1007,98,726,26,63,60,1,4522,1331,1,12,17,6512,23,8,6,10,3,0,11,4,190,23,1,17683,20,829,495
"TCGA.EM.A2CS.06A",123,139,2,271,274,47,2,148,133,222,13,21,1,5,57,841,850,418,171,47,12,177,2,0,42,87,46,3366,1654,606,183,23,28,0,126,611,11,288,337,64,50,560,130,42,55,42,34,525,135,49,117,3,47,88,876,18,15,92,57,117,27,0,23,1237,11,2512,5,81,6,3,3718,16,92,270,8,110,146,20,5,1202,15,4,42,2,8,158,162,1,171,11783,5,21,15,88,7,74,12,211,0,0,1667,15,341,25,1491,406,127,9,89,244,0,0,0,148,40,576,2275,57,217,23,2032,16,0,460,50,293,6,236,56,1,1985,194,134,398,1961,1468,1,4,1106,4776,7,732,80,206,7,2,37,222,1195,227,0,4,11,9120,20,287,8,12,52,2,5,10,131,0,2,5360,60,59,27
"TCGA.J8.A4HW.06A",203,146,1,455,118,111,5,81,101,305,42,127,0,18,37,1192,748,51,154,71,55,478,0,0,53,65,69,2415,2188,810,933,16,71,0,90,790,0,200,100,110,3,519,1145,65,11,160,144,720,212,13,117,4,92,360,507,47,20,862,287,64,57,0,11,1700,20,2156,40,126,43,8,2724,47,64,335,60,88,624,79,4,1511,3,3,7,0,15,213,197,4,277,5479,5,65,5,133,27,20,4,137,9,1,22926,82,281,67,337,245,30,17,75,53,0,0,1,80,49,528,562,15,117,20,389,4,3,1106,139,222,42,287,49,3,5705,411,232,175,1221,692,15,6,565,2651,15,665,55,53,5,43,60,4,1780,177,0,0,13,9418,17,18,6,16,9,3,17,11,219,3,11,5368,2,52,43
"TCGA.J8.A3O2.06A",65,67,0,530,37,13,0,16,15,292,24,46,0,4,6,84,317,40,60,23,5,34,0,0,16,24,12,563,611,771,135,6,15,0,67,510,1,86,7,37,0,122,519,13,24,40,15,86,59,0,11,0,12,34,225,3,4,12,68,3,18,0,9,322,3,620,5,52,11,1,797,31,16,175,15,8,55,23,6,431,2,21,2,0,5,53,79,0,47,2244,3,43,6,47,4,18,5,44,0,0,40,5,122,17,196,100,13,2,49,16,0,0,1,9,15,178,250,4,84,3,318,10,0,181,30,440,2,64,6,3,1995,148,32,98,457,267,6,2,387,833,17,340,16,31,4,4,3,3,462,305,0,2,9,1990,4,23,4,4,55,0,1,16,40,2,6,1530,6,15,8
"TCGA.EM.A3FQ.06A",8,33,0,1,15,16,1,2,5,35,1,4,0,0,5,9,191,28,42,3,0,51,1,0,11,25,10,422,226,601,16,0,13,0,89,153,0,37,21,28,0,33,6,0,11,8,9,9,1,0,60,1,4,12,18,1,0,16,2,27,1,0,47,144,0,47,0,11,15,1,133,2,0,136,2,12,20,7,1,92,0,6,1,1,0,2,21,0,11,92,0,7,1,18,2,0,2,0,21,1,153,99,71,7,114,184,26,2,18,32,0,0,8,8,27,43,389,5,13,5,25,0,0,76,18,34,0,126,4,1,536,13,2,16,330,39,0,0,10,327,0,60,1,2,0,4,2,0,298,18,0,4,4,68,3,0,1,1,2,0,0,2,1,3,15,257,0,8,2
